zCMB MU MUERR_FINAL
0.50492 42.27920 0.12320
0.47085 41.82830 0.29300
0.36087 41.18650 0.15950
0.36798 41.48730 0.15190
0.33828 41.28720 0.13910
0.62818 42.87420 0.20310
0.31257 41.04470 0.20780
0.52535 42.37590 0.16490
0.30246 40.38380 2.92570
0.58822 42.99110 0.18270
0.33386 41.48570 0.16840
0.42561 41.74800 0.14580
0.54436 42.72360 0.19850
0.53250 42.63330 0.17310
0.52513 42.31790 0.12270
0.86179 43.88260 0.29040
0.34886 41.20700 0.12170
0.29584 42.45320 209.20920
0.68363 42.89850 0.17450
0.88491 43.53740 0.21030
0.87270 43.76120 0.44500
0.35631 41.29750 0.12010
0.55929 42.55610 0.29920
0.67098 42.98580 0.25350
0.74855 43.39720 0.27310
0.86243 43.79570 0.23420
0.65763 42.69220 0.27350
0.18443 40.04840 0.16750
0.14624 39.33710 0.11360
0.64852 42.97020 0.14250
0.64392 42.93410 0.15130
0.74392 43.10730 0.18760
0.67698 43.07170 0.20390
0.48813 42.18560 0.15250
0.25854 40.58720 0.11790
0.53387 42.70260 0.24360
0.43516 41.95230 0.17610
0.65045 43.03820 0.18430
0.73069 43.04000 0.17420
0.54888 42.52470 0.16380
0.33479 41.33860 0.20940
0.54402 42.15960 0.14950
0.34316 42.73170 234.96240
0.60981 42.53740 0.20110
0.27784 41.00820 0.13790
0.73677 43.21300 0.21130
0.21492 39.78450 0.19180
0.86461 43.48280 0.23680
0.63561 43.06600 0.18080
0.46256 41.86540 0.12540
0.28513 40.89490 0.11480
0.26048 40.73950 0.14770
0.60946 42.57180 0.15270
0.48930 42.23700 0.26170
0.47792 42.30100 0.17890
0.60960 43.04660 0.20940
0.19616 39.95240 0.12220
0.69226 43.13930 0.14330
0.68339 43.10120 0.13400
0.69836 43.11460 0.19220
0.80109 43.36710 0.16230
0.91289 43.90480 0.18190
0.98158 43.84120 0.12930
0.59158 42.85750 0.15760
0.29498 43.95150 252.58680
0.37677 41.47700 0.12750
0.73065 43.21750 0.14360
0.36571 41.34460 0.19810
0.47241 42.10880 0.18040
0.16008 39.12710 0.17530
0.38131 41.50430 0.18100
0.41357 41.67910 0.17630
0.61843 43.05810 0.23780
0.40925 41.56400 0.17750
0.31722 41.13480 0.14450
0.26765 40.66390 0.11510
0.48485 42.10170 0.15780
0.51413 42.56720 0.23800
0.31042 40.69150 0.21750
0.40031 41.51900 0.17570
0.58454 42.85000 0.18070
0.65633 42.77230 0.11840
0.29571 41.03310 0.16320
0.81684 43.33240 0.15750
0.33779 41.19400 0.19580
0.71139 43.13180 0.14180
0.46754 42.17040 0.16410
0.60955 43.05540 0.17580
0.62043 43.10380 0.22190
0.32959 41.25850 0.09710
0.34304 41.60890 0.21280
0.41527 41.75160 0.12620
0.74899 43.26710 0.15470
0.54327 42.81660 0.21380
0.58845 42.64820 0.20540
0.45351 42.27880 0.26870
0.49238 42.30810 0.20520
0.29156 40.85960 0.10460
0.73717 43.45710 0.24590
